provider,model,reasoning,infection_level,n_yes,n_no,n_total,pct_stay_home,total_input_tokens,total_output_tokens,total_reasoning_tokens,total_cost
gemini,gemini-3-flash-preview,off,0.0,24,476,500,4.8,123075,44915,0,0.196282
gemini,gemini-3-flash-preview,off,0.1,51,449,500,10.2,123075,48078,0,0.205772
gemini,gemini-3-flash-preview,off,0.2,62,438,500,12.4,123075,48511,0,0.207071
gemini,gemini-3-flash-preview,off,0.3,50,450,500,10.0,123075,48998,0,0.208531
gemini,gemini-3-flash-preview,off,0.4,54,446,500,10.8,123075,48108,0,0.205861
gemini,gemini-3-flash-preview,off,0.5,73,427,500,14.6,123075,48866,0,0.208136
gemini,gemini-3-flash-preview,off,0.6,69,431,500,13.8,123075,48827,0,0.208018
gemini,gemini-3-flash-preview,off,0.7,64,436,500,12.8,123075,48665,0,0.207532
gemini,gemini-3-flash-preview,off,0.8,79,421,500,15.8,123075,49068,0,0.208741
gemini,gemini-3-flash-preview,off,0.9,77,423,500,15.4,123075,48894,0,0.208219
gemini,gemini-3-flash-preview,off,1.0,87,413,500,17.4,123075,49314,0,0.209479
gemini,gemini-3-flash-preview,off,1.1,93,407,500,18.6,123075,49860,0,0.211118
gemini,gemini-3-flash-preview,off,1.2,84,416,500,16.8,123075,50154,0,0.211999
gemini,gemini-3-flash-preview,off,1.3,81,419,500,16.2,123075,49246,0,0.209275
gemini,gemini-3-flash-preview,off,1.4,78,422,500,15.6,123075,50118,0,0.211892
gemini,gemini-3-flash-preview,off,1.5,89,411,500,17.8,123075,50042,0,0.211663
gemini,gemini-3-flash-preview,off,1.6,85,415,500,17.0,123075,49223,0,0.209206
gemini,gemini-3-flash-preview,off,1.7,90,410,500,18.0,123075,49103,0,0.208847
gemini,gemini-3-flash-preview,off,1.8,92,408,500,18.4,123075,49703,0,0.210647
gemini,gemini-3-flash-preview,off,1.9,89,411,500,17.8,123075,49192,0,0.209113
gemini,gemini-3-flash-preview,off,2.0,103,397,500,20.6,123075,48801,0,0.207941
gemini,gemini-3-flash-preview,off,2.1,90,410,500,18.0,123075,48796,0,0.207926
gemini,gemini-3-flash-preview,off,2.2,95,405,500,19.0,123075,49012,0,0.208574
gemini,gemini-3-flash-preview,off,2.3,99,401,500,19.8,123075,49373,0,0.209656
gemini,gemini-3-flash-preview,off,2.4,90,410,500,18.0,123075,49486,0,0.209996
gemini,gemini-3-flash-preview,off,2.5,92,408,500,18.4,123075,49458,0,0.209912
gemini,gemini-3-flash-preview,off,2.6,99,401,500,19.8,123075,49047,0,0.208678
gemini,gemini-3-flash-preview,off,2.7,102,398,500,20.4,123075,48205,0,0.206152
gemini,gemini-3-flash-preview,off,2.8,100,400,500,20.0,123075,48928,0,0.208321
gemini,gemini-3-flash-preview,off,2.9,99,401,500,19.8,123075,49126,0,0.208915
gemini,gemini-3-flash-preview,off,3.0,107,393,500,21.4,123075,49424,0,0.209809
gemini,gemini-3-flash-preview,off,3.1,99,401,500,19.8,123075,48763,0,0.207826
gemini,gemini-3-flash-preview,off,3.2,97,403,500,19.4,123075,49209,0,0.209164
gemini,gemini-3-flash-preview,off,3.3,92,408,500,18.4,123075,49062,0,0.208723
gemini,gemini-3-flash-preview,off,3.4,108,392,500,21.6,123075,49611,0,0.210371
gemini,gemini-3-flash-preview,off,3.5,95,405,500,19.0,123075,49156,0,0.209006
gemini,gemini-3-flash-preview,off,4.0,110,390,500,22.0,123075,48919,0,0.208294
gemini,gemini-3-flash-preview,off,5.0,127,373,500,25.4,123075,49024,0,0.20861
gemini,gemini-3-flash-preview,off,6.0,133,367,500,26.6,123075,49049,0,0.208685
gemini,gemini-3-flash-preview,off,7.0,143,357,500,28.6,123075,48952,0,0.208394
