provider,model,reasoning,infection_level,n_yes,n_no,n_total,pct_stay_home,total_input_tokens,total_output_tokens,total_reasoning_tokens,total_cost
gemini,gemini-2.0-flash,off,0,12,488,500,2.4,122575,45407,0,0.03042
gemini,gemini-2.0-flash,off,0.1,105,395,500,21.0,122575,60093,0,0.036295
gemini,gemini-2.0-flash,off,0.2,143,357,500,28.6,122575,58716,0,0.035744
gemini,gemini-2.0-flash,off,0.3,150,350,500,30.0,122575,59980,0,0.03625
gemini,gemini-2.0-flash,off,0.4,168,332,500,33.6,122575,60895,0,0.036616
gemini,gemini-2.0-flash,off,0.5,174,326,500,34.8,122575,59966,0,0.036244
gemini,gemini-2.0-flash,off,0.6,185,315,500,37.0,122575,59650,0,0.036117
gemini,gemini-2.0-flash,off,0.7,158,342,500,31.6,122575,58839,0,0.035793
gemini,gemini-2.0-flash,off,0.8,189,311,500,37.8,122575,60098,0,0.036297
gemini,gemini-2.0-flash,off,0.9,250,250,500,50.0,122575,59485,0,0.036052
gemini,gemini-2.0-flash,off,1.0,212,288,500,42.4,122575,58558,0,0.035681
gemini,gemini-2.0-flash,off,1.1,269,231,500,53.8,122575,59063,0,0.035883
gemini,gemini-2.0-flash,off,1.2,275,225,500,55.0,122575,59738,0,0.036153
gemini,gemini-2.0-flash,off,1.3,265,235,500,53.0,122575,59030,0,0.035869
gemini,gemini-2.0-flash,off,1.4,305,195,500,61.0,122575,60011,0,0.036262
gemini,gemini-2.0-flash,off,1.5,288,212,500,57.6,122575,60372,0,0.036406
gemini,gemini-2.0-flash,off,1.6,271,229,500,54.2,122575,58942,0,0.035834
gemini,gemini-2.0-flash,off,1.7,285,215,500,57.0,122575,58793,0,0.035775
gemini,gemini-2.0-flash,off,1.8,306,194,500,61.2,122575,60010,0,0.036261
gemini,gemini-2.0-flash,off,1.9,301,199,500,60.2,122575,58944,0,0.035835
gemini,gemini-2.0-flash,off,2.0,264,236,500,52.8,122575,56607,0,0.0349
gemini,gemini-2.0-flash,off,2.1,306,194,500,61.2,122575,58295,0,0.035576
gemini,gemini-2.0-flash,off,2.2,306,194,500,61.2,122575,58911,0,0.035822
gemini,gemini-2.0-flash,off,2.3,285,215,500,57.0,122575,58641,0,0.035714
gemini,gemini-2.0-flash,off,2.4,283,217,500,56.6,122575,58351,0,0.035598
gemini,gemini-2.0-flash,off,2.5,330,170,500,66.0,122575,59414,0,0.036023
gemini,gemini-2.0-flash,off,2.6,306,194,500,61.2,122575,59696,0,0.036136
gemini,gemini-2.0-flash,off,2.7,291,209,500,58.2,122575,57683,0,0.035331
gemini,gemini-2.0-flash,off,2.8,337,163,500,67.4,122575,57954,0,0.035439
gemini,gemini-2.0-flash,off,2.9,321,179,500,64.2,122575,57839,0,0.035393
gemini,gemini-2.0-flash,off,3.0,295,205,500,59.0,122575,57320,0,0.035185
gemini,gemini-2.0-flash,off,3.1,284,216,500,56.8,122575,58629,0,0.035709
gemini,gemini-2.0-flash,off,3.2,311,189,500,62.2,122575,56697,0,0.034936
gemini,gemini-2.0-flash,off,3.3,318,182,500,63.6,122575,57716,0,0.035344
gemini,gemini-2.0-flash,off,3.4,329,171,500,65.8,122575,58727,0,0.035748
gemini,gemini-2.0-flash,off,3.5,322,178,500,64.4,122575,58433,0,0.035631
gemini,gemini-2.0-flash,off,4.0,309,191,500,61.8,122575,57338,0,0.035193
gemini,gemini-2.0-flash,off,5.0,288,212,500,57.6,122575,56728,0,0.034949
gemini,gemini-2.0-flash,off,6.0,315,185,500,63.0,122575,56864,0,0.035003
gemini,gemini-2.0-flash,off,7.0,317,183,500,63.4,122575,55940,0,0.034633
